pyo_id,pyo_label,original_pyov_id,producers_fg_total,producers_strains_total,fg_production_count,strain_production_count,utilizers_fg_total,utilizers_strains_total,fg_utilization_count,strain_utilization_count,fg_util_prod_ratio,strain_util_prod_ratio,fg_rec_syn_ratio,strain_rec_syn_ratio,cooperators_fg,crossfeeders_fg,nonproducers_fg,cooperators_strains,crossfeeders_strains,nonproducers_strains,cooperators_fg_frac,crossfeeders_fg_frac,nonproducers_fg_frac,cooperators_strain_frac,crossfeeders_strain_frac,nonproducers_strain_frac,module_id,module_fg_count,module_pyo_count,module_nestedness,module_fill_pct,is_large_module,is_nested_module,is_major_module
PYO_27,pyov_40,40,1,1,1,1,32,387,32,387,32,387,32,387,1,28,3,1,354,32,0.03125,0.875,0.09375,0.002583979328165375,0.9147286821705426,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_17,pyov_30,30,1,1,1,1,58,333,58,333,58,333,58,333,1,42,15,1,281,51,0.017241379310344827,0.7241379310344828,0.25862068965517243,0.003003003003003003,0.8438438438438438,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_18,pyov_31,31,1,1,1,1,58,333,58,333,58,333,58,333,1,42,15,1,281,51,0.017241379310344827,0.7241379310344828,0.25862068965517243,0.003003003003003003,0.8438438438438438,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_93,pyov_278,278,1,1,1,1,38,297,38,297,38,297,38,297,1,25,12,1,261,35,0.02631578947368421,0.6578947368421053,0.3157894736842105,0.003367003367003367,0.8787878787878788,0.11784511784511785,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_36,pyov_57,57,1,1,1,1,61,272,61,272,61,272,61,272,1,42,18,1,209,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_37,pyov_58,58,1,1,1,1,61,272,61,272,61,272,61,272,1,42,18,1,209,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_38,pyov_59,59,1,1,1,1,61,272,61,272,61,272,61,272,1,42,18,1,209,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_39,pyov_60,60,1,1,1,1,61,272,61,272,61,272,61,272,1,42,18,1,209,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_40,pyov_61,61,1,1,1,1,61,272,61,272,61,272,61,272,1,42,18,1,209,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_41,pyov_62,62,1,1,1,1,61,272,61,272,61,272,61,272,1,42,18,1,209,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_42,pyov_63,63,1,1,1,1,61,272,61,272,61,272,61,272,1,42,18,1,209,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_43,pyov_64,64,1,1,1,1,61,272,61,272,61,272,61,272,1,42,18,1,209,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_21,pyov_34,34,1,2,1,2,32,387,32,387,32,193.5,32,193.5,1,28,3,2,353,32,0.03125,0.875,0.09375,0.00516795865633075,0.9121447028423773,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_24,pyov_37,37,2,2,2,2,32,387,32,387,16,193.5,16,193.5,1,28,3,1,354,32,0.03125,0.875,0.09375,0.002583979328165375,0.9147286821705426,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_26,pyov_39,39,1,2,1,2,32,387,32,387,32,193.5,32,193.5,1,28,3,2,353,32,0.03125,0.875,0.09375,0.00516795865633075,0.9121447028423773,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_19,pyov_32,32,1,2,1,2,58,333,58,333,58,166.5,58,166.5,1,42,15,2,280,51,0.017241379310344827,0.7241379310344828,0.25862068965517243,0.006006006006006006,0.8408408408408409,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_34,pyov_55,55,1,2,1,2,61,272,61,272,61,136,61,136,1,42,18,2,208,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.007352941176470588,0.7647058823529411,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_25,pyov_38,38,1,3,1,3,32,387,32,387,32,129,32,129,1,28,3,3,352,32,0.03125,0.875,0.09375,0.007751937984496124,0.9095607235142119,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_31,pyov_52,52,1,1,1,1,6,103,6,103,6,103,6,103,1,5,0,1,102,0,0.16666666666666666,0.8333333333333334,0,0.009708737864077669,0.9902912621359223,0,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_92,pyov_277,277,2,3,2,3,38,297,38,297,19,99,19,99,2,24,12,3,259,35,0.05263157894736842,0.631578947368421,0.3157894736842105,0.010101010101010102,0.8720538720538721,0.11784511784511785,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_35,pyov_56,56,1,3,1,3,61,272,61,272,61,90.66666666666667,61,90.66666666666667,1,42,18,3,207,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.011029411764705883,0.7610294117647058,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_45,pyov_66,66,1,3,1,3,61,272,61,272,61,90.66666666666667,61,90.66666666666667,1,42,18,3,207,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.011029411764705883,0.7610294117647058,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_82,pyov_265,265,1,1,1,1,13,84,13,84,13,84,13,84,1,7,5,1,73,10,0.07692307692307693,0.5384615384615384,0.38461538461538464,0.011904761904761904,0.8690476190476191,0.11904761904761904,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_14,pyov_27,27,1,4,1,4,58,333,58,333,58,83.25,58,83.25,1,42,15,4,278,51,0.017241379310344827,0.7241379310344828,0.25862068965517243,0.012012012012012012,0.8348348348348348,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_16,pyov_29,29,2,4,2,4,58,333,58,333,29,83.25,29,83.25,2,41,15,4,278,51,0.034482758620689655,0.7068965517241379,0.25862068965517243,0.012012012012012012,0.8348348348348348,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_44,pyov_65,65,1,4,1,4,61,272,61,272,61,68,61,68,1,42,18,4,206,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.014705882352941176,0.7573529411764706,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_89,pyov_274,274,1,1,1,1,5,66,5,66,5,66,5,66,1,4,0,1,65,0,0.2,0.8,0,0.015151515151515152,0.9848484848484849,0,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_05,pyov_11,11,1,1,1,1,9,61,9,61,9,61,9,61,1,3,5,1,40,20,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.01639344262295082,0.6557377049180327,0.32786885245901637,1,4,2,0,100,FALSE,FALSE,FALSE
PYO_52,pyov_89,89,1,1,1,1,25,55,25,55,25,55,25,55,1,21,3,1,45,9,0.04,0.84,0.12,0.01818181818181818,0.8181818181818182,0.16363636363636364,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_58,pyov_113,113,1,1,1,1,14,49,14,49,14,49,14,49,1,12,1,1,47,1,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.02040816326530612,0.9591836734693877,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_59,pyov_114,114,1,1,1,1,14,49,14,49,14,49,14,49,1,12,1,1,47,1,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.02040816326530612,0.9591836734693877,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_64,pyov_119,119,1,1,1,1,14,49,14,49,14,49,14,49,1,12,1,1,47,1,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.02040816326530612,0.9591836734693877,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_15,pyov_28,28,1,7,1,7,58,333,58,333,58,47.57142857142857,58,47.57142857142857,1,42,15,7,275,51,0.017241379310344827,0.7241379310344828,0.25862068965517243,0.021021021021021023,0.8258258258258259,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_81,pyov_264,264,2,2,2,2,13,84,13,84,6.5,42,6.5,42,2,6,5,2,72,10,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.023809523809523808,0.8571428571428571,0.11904761904761904,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_83,pyov_266,266,1,2,1,2,13,84,13,84,13,42,13,42,1,7,5,2,72,10,0.07692307692307693,0.5384615384615384,0.38461538461538464,0.023809523809523808,0.8571428571428571,0.11904761904761904,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_13,pyov_23,23,12,24,12,24,32,869,32,869,2.6666666666666665,36.208333333333336,2.6666666666666665,36.208333333333336,12,10,10,24,784,61,0.375,0.3125,0.3125,0.02761795166858458,0.9021864211737629,0.07019562715765247,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_23,pyov_36,36,2,14,2,14,32,387,32,387,16,27.642857142857142,16,27.642857142857142,1,28,3,13,342,32,0.03125,0.875,0.09375,0.03359173126614987,0.8837209302325582,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_51,pyov_88,88,1,2,1,2,25,55,25,55,25,27.5,25,27.5,1,21,3,2,44,9,0.04,0.84,0.12,0.03636363636363636,0.8,0.16363636363636364,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_32,pyov_53,53,1,11,1,11,61,272,61,272,61,24.727272727272727,61,24.727272727272727,1,42,18,11,199,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.04044117647058824,0.7316176470588235,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_61,pyov_116,116,1,2,1,2,14,49,14,49,14,24.5,14,24.5,1,12,1,2,46,1,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.04081632653061224,0.9387755102040817,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_65,pyov_120,120,1,2,1,2,14,49,14,49,14,24.5,14,24.5,1,12,1,2,46,1,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.04081632653061224,0.9387755102040817,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_33,pyov_54,54,1,12,1,12,61,272,61,272,61,22.666666666666668,61,22.666666666666668,1,42,18,12,198,62,0.01639344262295082,0.6885245901639344,0.29508196721311475,0.04411764705882353,0.7279411764705882,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_07,pyov_13,13,1,1,1,1,12,22,12,22,12,22,12,22,1,8,3,1,16,5,0.08333333333333333,0.6666666666666666,0.25,0.045454545454545456,0.7272727272727273,0.22727272727272727,4,5,3,0,100,FALSE,FALSE,FALSE
PYO_55,pyov_103,103,1,1,1,1,4,19,4,19,4,19,4,19,1,3,0,1,18,0,0.25,0.75,0,0.05263157894736842,0.9473684210526315,0,2,10,9,0,33.333333333333336,FALSE,FALSE,FALSE
